symbol,label,pressure_side,bucket,n,bid_add_p50,bid_add_p90,bid_add_mean,bid_cxl_p50,bid_cxl_p90,bid_cxl_mean,bid_net_p50,bid_net_p90,bid_net_mean,ask_add_p50,ask_add_p90,ask_add_mean,ask_cxl_p50,ask_cxl_p90,ask_cxl_mean,depth_p50,depth_p90,depth_mean,mid_chg_p50,mid_chg_p90,mid_chg_mean,ticks_p50,ticks_p90,ticks_mean,repl_ratio_p50,repl_ratio_p90,repl_ratio_mean,ask_net_p50,ask_net_p90,ask_net_mean
PF_ETHUSD,MEDIAN,BUY,top-1%,36,1826.488,3865.8925,2346.7691,2152.891,3835.583,2500.9142,,,,2581.4545,5991.549,2911.726,2698.103,7191.2585,3439.6895,2689.349,3814.3015,2661.1449,0.25,1.55,0.4625,3.5,18.5,6.6806,36.485,1157.323,1167.7325,-141.4845,237.438,-527.9635
PF_ETHUSD,HIGH,SELL,0-50%,3138,568.7905,2073.6703,830.1376,551.871,2119.608,827.979,1.6895,157.7293,2.1585,619.435,2316.5918,945.8204,618.6885,2302.1846,948.1747,2797.782,3406.3837,2729.1661,0.0,0.3,0.0332,1.0,3.0,1.1467,0.0,0.0,24.9062,,,
PF_ETHUSD,HIGH,SELL,50-90%,99,1169.18,2725.973,1420.1609,1210.529,2975.4172,1456.674,-9.546,132.1386,-36.5131,1119.017,2667.0576,1356.2748,1183.425,2784.1998,1340.2845,2504.443,3264.6868,2492.517,-0.2,0.0,-0.2086,2.0,4.0,2.4495,0.0,95.2528,54.7319,,,
PF_ETHUSD,HIGH,SELL,90-95%,183,1060.109,3049.0344,1444.2441,1052.452,3002.2016,1432.7494,-1.397,222.4224,11.4947,1083.146,3043.4596,1473.5425,1060.399,2844.4126,1469.3449,2614.521,3362.936,2546.8875,-0.2,0.1,-0.1522,2.0,5.0,2.489,0.0,59.481,67.3651,,,
PF_ETHUSD,HIGH,SELL,95-99%,144,1723.3765,3497.846,1939.0459,1674.1605,3519.5237,1924.7635,-9.387,312.8945,14.2824,1662.0465,3331.7117,1997.0888,1619.0415,3292.2603,1939.8247,2539.0995,3321.4901,2494.0616,-0.2,0.1,-0.1865,2.0,5.5,2.9826,1.041,125.5959,215.5866,,,
PF_ETHUSD,HIGH,SELL,top-1%,36,3466.62,7436.3605,3732.6486,3780.9585,7546.106,3857.9389,-64.253,242.0595,-125.2903,2394.201,4946.9115,2632.7162,2364.302,4635.6555,2621.8731,1981.1235,2727.5965,1995.2058,-0.5,0.0,-0.5819,5.0,12.5,6.0139,5.5004,221.2974,89.9531,,,
PF_ETHUSD,HIGH,BUY,0-50%,3000,571.0365,2193.2495,880.761,557.8415,2236.5386,879.9416,,,,604.1135,2263.1562,922.9458,608.1605,2223.8078,916.99,2776.7215,3409.43,2708.1508,0.0,0.2,-0.0262,1.0,3.0,1.1573,0.0,0.0,5.2787,0.733,155.0415,5.9558
PF_ETHUSD,HIGH,BUY,50-90%,218,1106.5565,2502.1993,1370.1461,1085.375,2453.5102,1329.6213,,,,1488.952,3390.4901,1759.3969,1510.7295,3369.591,1735.3385,2729.7025,3408.8217,2647.5985,0.2,0.4,0.1855,2.0,5.0,2.477,0.0,123.288,189.1898,-6.0065,243.729,24.0584
PF_ETHUSD,HIGH,BUY,90-95%,202,733.101,2490.7083,1031.5357,695.863,2401.1337,1034.5351,,,,882.9555,2605.9718,1215.692,890.0115,2563.9134,1236.6078,2842.6055,3255.5258,2722.0604,0.0,0.3,0.0356,1.5,4.0,1.8218,0.0,207.5129,243.4682,0.363,183.9689,-20.9159
PF_ETHUSD,HIGH,BUY,95-99%,144,1175.013,2695.6503,1421.0513,1219.416,2714.0146,1433.1686,,,,1487.832,3246.0221,1723.8706,1521.098,3330.8544,1779.013,2698.5385,3387.5142,2670.1884,0.2,0.5,0.1622,2.0,5.0,2.4757,0.0,79.9848,42.9349,-16.399,264.7292,-55.1424
PF_ETHUSD,HIGH,BUY,top-1%,36,1467.3765,4041.144,1930.1613,1589.606,5447.129,2100.5317,,,,2560.0685,7020.742,3002.2055,1744.4285,7633.4375,3206.2854,2090.592,2958.0815,1998.4169,0.15,1.625,0.4417,2.5,16.25,5.7222,6.5834,358.4042,492.8299,-33.1945,532.625,-204.0799
